School Name,School ID,Public flag,School Type,SAU,SAU ID,County,Location,Mailing Street,Mailing City,Mailing Zip,Phone,Grade Low,Grade High,Contact,Contact Email
Edna Drinkwater School,738,Public,Public,Northport Public Schools,1735,Waldo,Northport,56 Bayside Road,Northport,04849,(207) 338-3430,KG,8,Todd Martin,tmartin@drinkwaterschool.org
Edna Libby Elementary School,599,Public,Public,RSU 06/MSAD 06,587,Cumberland,Standish,45 Fort Hill Road,Standish,04084,(207) 642-2500,PK,3,Danielle Harris,dharris@bonnyeagle.org
Edward Little High School,23,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,77 Harris Street,Auburn,04210,(207) 333-6652,9,12,Melissa McLeod,mmcleod@auburnschl.edu
Eight Corners Elementary School,428,Public,Public,Scarborough Public Schools,427,Cumberland,Scarborough,22 Mussey Road,Scarborough,04074,(207) 730-5200,KG,2,ANNE LOVEJOY,alovejoy@scarboroughschools.org
Eliot Elementary School,744,Public,Public,RSU 35/MSAD 35,743,York,Eliot,1298 State Road,Eliot,03903,(207) 439-9004,PK,3,PETER HARRISON,peter.harrison@rsu35.org
Ella Lewis Sch,2137,Public,Public,RSU 24,1462,Washington,Steuben,15 Old Village Road,Steuben,04680,(207) 546-2430,PK,5,Hayley Fenton,hfenton@rsu24.org
Ella P Burr School,947,Public,Public,RSU 67,1469,Penobscot,Lincoln,23 Ella P Burr Street,Lincoln,04457,(207) 794-3014,PK,3,Heidi Fairbanks,hfairbanks@rsu67.org
Ellsworth Elementary-Middle School,1463,Public,Public,Ellsworth Public Schools,1663,Hancock,Ellsworth,20 Forrest Avenue,Ellsworth,04605,(207) 667-6241,KG,8,April Clifford,aclifford@ellsworthschools.org
Ellsworth High School,172,Public,Public,Ellsworth Public Schools,1663,Hancock,Ellsworth,24 Lejok Street,Ellsworth,04605,(207) 667-4722,9,12,DANIEL CLIFFORD,dclifford@ellsworthschools.org
Elm Street School-East Machias,999,Public,Public,East Machias Public Schools,1400,Washington,East Machias,PO Box 229,East Machias,04630,(207) 255-8692,PK,8,TONY MAKER,tonymaker@hotmail.com
Elm Street School-Mechanic Falls,292,Public,Public,RSU 16,1456,Androscoggin,Mechanic Falls,129 Elm Street,Mechanic Falls,04256,(207) 345-3381,PK,6,Jessica Madsen,jmadsen@rsu16.org
Enfield Station Elementary School,719,Public,Public,RSU 31/MSAD 31,718,Penobscot,West Enfield,561 Hammett Road,West Enfield,04493,(207) 732-4141,PK,5,Sharon Haskell,sharon.haskell@sau31.org
Eric L Knowlton School,921,Public,Public,RSU 60/MSAD 60,913,York,Berwick,8 Noble Lane,Berwick,03901,(207) 698-1188,4,5,Michelle Keniston,michelle.keniston@msad60.org
Etna-Dixmont School,2044,Public,Public,RSU 19,1458,Penobscot,Etna,2100 Dixmont Road,Etna,04434,(207) 992-0735,PK,4,Jane Stork,jstork@rsu19.net
Eva Hoyt Zippel School,554,Public,Public,RSU 79/MSAD 01,551,Aroostook,Presque Isle,42 Griffin Street,Presque Isle,04769,(207) 764-8106,3,5,CHRISTOPHER HALLETT,hallettc@sad1.org
Fairfield Primary School,832,Public,Public,RSU 49/MSAD 49,826,Somerset,Fairfield,63 High Street,Fairfield,04937,(207) 453-4220,PK,KG,PAMELA BLAIS,pblais@msad49.org
Fairmount School,43,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,58 Thirteenth Street,Bangor,04401,(207) 941-6260,4,5,Ryan Enman,renman@bangorschools.net
Fairview School,16,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,397 Minot Avenue,Auburn,04210,(207) 784-3559,PK,6,CELESTE BEAUDET,cbeaudet@auburnschl.edu
Falmouth Elementary School,179,Public,Public,Falmouth Public Schools,174,Cumberland,Falmouth,58 Woodville Road,Falmouth,04105,(207) 781-3988,PK,5,MARGARET ARMSTRONG,peg.armstrong@falmouthschools.org
Falmouth High School,177,Public,Public,Falmouth Public Schools,174,Cumberland,Falmouth,74 Woodville Road,Falmouth,04105,(207) 781-7429,9,12,Richard Gowers,richard.gowers@falmouthschools.org
Falmouth Middle School,178,Public,Public,Falmouth Public Schools,174,Cumberland,Falmouth,52 Woodville Road,Falmouth,04105,(207) 781-3740,6,8,Janet Adams,janet.adams@falmouthschools.org
Farrington School,34,Public,Public,Augusta Public Schools,28,Kennebec,Augusta,249 Eastern Avenue,Augusta,04330,(207) 626-2480,KG,6,Teresa Beaudoin,teresa.beaudoin@augustaschools.org
Farwell Elementary School,251,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,84-110 Farwell Street,Lewiston,04240,(207) 795-4110,PK,6,ANDREW BARD,abard@LEWISTONPUBLICSCHOOLS.ORG
Fayette Central School,181,Public,Public,Fayette Public Schools,180,Kennebec,Fayette,2023 Main Street,Fayette,04349,(207) 685-4770,PK,5,COURTNEY Lyons,courtney_lyons@fayettemecs.com
Fiddlehead School of Arts & Science,1649,Public,Charter,Fiddlehead School of Arts and Sciences,1631,Cumberland,Gray,25 Shaker Rd,Gray,04039,(207) 688-3727,PK,8,Jason Manjourides,jasonm@fiddleheadschool.org
Fisher-Mitchell School,57,Public,Public,RSU 01 - LKRSU,1438,Sagadahoc,Bath,597 High Street,Bath,04530,(207) 443-8265,3,5,Ross Berkowitz,rberkowitz@rsu1.org
Forest Hills Consolidated School,627,Public,Public,RSU 82/MSAD 12,626,Somerset,Jackman,606 Main Street,Jackman,04945,(207) 668-5291,KG,12,THAD LACASSE,THAD.LACASSE@SAD12.COM
Fort Fairfield Elementary School,666,Public,Public,RSU 86/MSAD 20,664,Aroostook,Fort Fairfield,76 Brunswick Avenue,Fort Fairfield,04742,(207) 472-3290,PK,5,SUZANNE PARKS,sparks@msad20.org
Fort Fairfield Middle/High School,665,Public,Public,RSU 86/MSAD 20,664,Aroostook,Fort Fairfield,28 High School Drive Suite A,Fort Fairfield,04742,(207) 472-3271,6,12,Garrett Martin,gmartin@msad20.org
Fort Kent Community High School,699,Public,Public,MSAD 27,696,Aroostook,Fort Kent,84 Pleasant Street,Fort Kent,04743,(207) 834-5540,9,12,JOHN KALETA,johnkaleta@sad27.org
Fort Kent Elementary School,698,Public,Public,MSAD 27,696,Aroostook,Fort Kent,108 Pleasant Street,Fort Kent,04743,(207) 834-3456,PK,6,ROBBY NADEAU,robbynadeau@sad27.org
Fort O'Brien School,1000,Public,Public,Machiasport Public Schools,1412,Washington,Machiasport,492 Port Road P.O. Box 37,Machiasport,04655,(207) 255-4575,PK,8,SUSAN ALMENDINGER,sue.almendinger.fob@gmail.com
Fort Street School,781,Public,Public,RSU 42/MSAD 42,780,Aroostook,Mars Hill,PO Box 509,Mars Hill,04758,(207) 429-8514,PK,6,HEIDI GARRISON,hgarrison@sad42.us
Foster Regional Applied Tech Ctr,611,Public,Technology Center,RSU 09,1508,Franklin,Farmington,129 Seamon Rd,Farmington,04938,(207) 778-3562,9,12,CHRISTIAN ELKINGTON,celkington@mtbluersd.org
Fourteenth Street School,49,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,224 Fourteenth Street,Bangor,04401,(207) 941-6350,PK,3,KRISTI Lord,klord@bangorschools.net
Frank H Harrison Middle School,541,Public,Public,Yarmouth Schools,537,Cumberland,Yarmouth,220 McCartney Street,Yarmouth,04096,(207) 846-2499,6,8,Amanda Lewis,amanda_lewis@yarmouthschools.org
Frank I Brown Elementary School,455,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,37 Highland Avenue,South Portland,04106,(207) 799-5196,KG,4,Elizabeth Kellogg,kellogbe@spsdme.org
Freeport High School,185,Public,Public,RSU 05,1449,Cumberland,Freeport,30 Holbrook Street,Freeport,04032,(207) 865-4706,9,12,Jennifer Gulko,gulkoj@rsu5.org
Freeport Middle School,186,Public,Public,RSU 05,1449,Cumberland,Freeport,19 Kendall Lane,Freeport,04032,(207) 865-6051,6,8,Raymond Grogan,groganr@rsu5.org
Frenchboro Elementary School,276,Public,Public,Frenchboro Public Schools,275,Hancock,Frenchboro,22 High Road,Frenchboro,04635,(207) 334-2944,KG,8,Sarah Dunbar,sarah.dunbar@mdirss.org
Friendship Village School,766,Public,Public,RSU 40/MSAD 40,765,Knox,Friendship,PO Box 100,Friendship,04547,(207) 832-5057,KG,6,TERRY STEINBEISER,terry-steinbeiser@msad40.org
Fruit Street School,44,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,175 Fruit Street,Bangor,04401,(207) 941-6270,PK,3,Richard Fournier,rfournier@bangorschools.net
G Herbert Jewett School,103,Public,Public,RSU 25,1464,Hancock,Bucksport,66 Bridge St,Bucksport,04416,(207) 469-6644,PK,KG,Nicole Beers,NICOLE.BEERS@RSU25.ORG
Gardiner Area High School,619,Public,Public,RSU 11/MSAD 11,617,Kennebec,Gardiner,40 West Hill Road,Gardiner,04345,(207) 582-3150,9,12,Lauren Arnold,larnold@msad11.org
Gardiner Regional Middle School,620,Public,Public,RSU 11/MSAD 11,617,Kennebec,Gardiner,161 Cobbossee Avenue,Gardiner,04345,(207) 582-1326,6,8,Sara Sims,ssims@msad.org
Garret Schenck School,978,Public,Public,RSU 74/MSAD 74,976,Somerset,Anson,PO Box 317,Anson,04911,(207) 696-3100,PK,5,Jean Butler,jbutler@carrabec.org
George B Weatherbee School,674,Public,Public,RSU 22,1615,Penobscot,Hampden,22 Main Road North,Hampden,04444,(207) 862-3254,3,5,Jennifer Cyr,jcyr@rsu22.us
George E Jack School,596,Public,Public,RSU 06/MSAD 06,587,Cumberland,Standish,15 Northeast Road,Standish,04084,(207) 642-4885,4,5,Danielle Harris,dharris@bonnyeagle.org
George J Mitchell School,483,Public,Public,Waterville Public Schools,480,Kennebec,Waterville,58 Drummond Avenue,Waterville,04901,(207) 873-0695,PK,3,Kim Taylor,ktaylor@aos92.org
Georgetown Central School,189,Public,Public,Georgetown Public Schools,188,Sagadahoc,Georgetown,PO Box 469,Georgetown,04548,(207) 633-2874,PK,6,Nina Willette,nwillette@aos98schools.org
Gerald D Cushing School,614,Public,Public,RSU 09,1508,Franklin,Wilton,21 Cushing Dr,Wilton,04294,(207) 645-2442,PK,1,Keith Acedo,kacedo@mtbluersd.org
Gerald E Talbot Community School,381,Public,Public,Portland Public Schools,364,Cumberland,Portland,1600 Forest AV,Portland,04103,(207) 874-8210,PK,5,TERRENCE YOUNG,youngt@portlandschools.org
Gladys Weymouth Elem School,737,Public,Public,RSU 71,1733,Waldo,Morrill,2 South Main Street,Morrill,04952,(207) 342-5300,PK,1,Glen Widmer,gwidmer@rsu71.org
Glenburn Elementary School,192,Public,Public,Glenburn Public Schools,191,Penobscot,Glenburn,991 Hudson Road,Glenburn,04401,(207) 947-8769,PK,8,Brian Miller,millerb@glenburnschool.us
Gorham High School,199,Public,Public,Gorham Public Schools,194,Cumberland,Gorham,41 Morrill Avenue,Gorham,04038,(207) 222-1100,9,12,Brian Jandreau,brian.jandreau@gorhamschools.org
Gorham Middle School,201,Public,Public,Gorham Public Schools,194,Cumberland,Gorham,106 Weeks Road,Gorham,04038,(207) 222-1220,6,8,QUINTON DONAHUE,quinton.donahue@gorhamschools.org
Governor John Fairfield School,411,Public,Public,Saco Public Schools,1662,York,Saco,75 Beach Street,Saco,04072,(207) 282-1322,KG,2,WENDY LEBLANC,WLEBLANC@SACOSCHOOLS.ORG
Granite Street School,299,Public,Public,Millinocket Public Schools,298,Penobscot,Millinocket,191 Granite Street,Millinocket,04462,(207) 723-6426,PK,5,JO-ANNA MERRY,jmerry@millinocketschools.org
Gray-New Gloucester High School,637,Public,Public,RSU 15/MSAD 15,635,Cumberland,Gray,10 Libby Hill Road,Gray,04039,(207) 657-3323,9,12,Sadie Grealish,sgrealish@sad15.org
Gray-New Gloucester Middle School,638,Public,Public,RSU 15/MSAD 15,635,Cumberland,Gray,31 Libby Hill Road,Gray,04039,(207) 657-4994,5,8,Richard Riley-Benoit,rriley-benoit@sad15.org
Great Falls Elementary School,202,Public,Public,Gorham Public Schools,194,Cumberland,Gorham,73 Justice Way,Gorham,04038,(207) 222-1050,KG,5,REBECCA FORTIER,becky.fortier@gorhamschools.org
Great Salt Bay Community School,1055,Public,Public,Great Salt Bay CSD,1054,Lincoln,Damariscotta,767 Main St. Suite 2,Damariscotta,04543,(207) 563-3091,KG,8,KIMBERLY SCHAFF,kschaff@aos93.org
Greely High School,843,Public,Public,RSU 51/MSAD 51,839,Cumberland,Cumberland,303 Main Street,Cumberland,04021,(207) 828-4805,9,12,Karl Francis,kfrancis@msad51.org
Greely Middle School,846,Public,Public,RSU 51/MSAD 51,839,Cumberland,Cumberland,351 Tuttle Road,Cumberland,04021,(207) 829-4815,6,8,MARGARET TREBILCOCK,mtrebilcock@msad51.org
Greely Middle School 4-5,845,Public,Public,RSU 51/MSAD 51,839,Cumberland,Cumberland,351 Tuttle Road,Cumberland,04021,(207) 829-4815,4,5,CAROL MACARTHUR,cmacarthur@msad51.org
Greene Central School,848,Public,Public,RSU 52/MSAD 52,847,Androscoggin,Greene,41 Main Street,Greene,04236,(207) 946-5681,PK,6,DOUGLAS PARKER,douglas.parker@msad52.org
Greenville Consolidated School,213,Public,Public,Greenville Public Schools,210,Piscataquis,Greenville,PO Box 100,Greenville,04441,(207) 695-2666,PK,12,LEE PEARSALL,Lee.Pearsall@ghslakers.org
Guy E Rowe School,650,Public,Public,RSU 17/MSAD 17,646,Oxford,Norway,219 Main Street,Norway,04268,(207) 743-5183,PK,6,Catherine Bickford,c.bickford@msad17.org
H B Emery Jr Memorial School,595,Public,Public,RSU 06/MSAD 06,587,York,Limington,908 Cape Road,Limington,04049,(207) 637-2056,PK,5,CHARLOTTE REGAN,cregan@bonnyeagle.org
Hall-Dale Elementary Sch,2116,Public,Public,RSU 02,1445,Kennebec,Hallowell,26 Garden Lane,Hallowell,04347,(207) 623-8677,PK,5,Sara Derosby,sderosby@kidsrsu.org
Hall-Dale Middle and High School,1968,Public,Public,RSU 02,1445,Kennebec,Farmingdale,97 Maple ST,Farmingdale,04344,(207) 622-6211,6,12,Douglas Bourget,dbourget@kidsrsu.org
Hampden Academy,675,Public,Public,RSU 22,1615,Penobscot,Hampden,89 Western Avenue,Hampden,04444,(207) 862-3791,9,12,Reginald Ruhlin,rruhlin@rsu22.us
Hancock County Technical Center,173,Public,Technology Center,Ellsworth Public Schools,1663,Hancock,Ellsworth,112 Boggy Brook Road,Ellsworth,04605,(207) 667-9729,10,12,Amy Boles,aboles@ellsworthschools.org
Hancock Grammar School,215,Public,Public,Hancock Public Schools,1664,Hancock,Hancock,33 Cemetery Road,Hancock,04640,(207) 422-6231,KG,8,Adam Gray,agray@hancockgrammar.org
Hanson School,2062,Public,Public,RSU 60/MSAD 60,913,York,Lebanon,53 Upper Guinea Road,Lebanon,04027,(207) 457-1299,KG,3,Heather LaFrance,heather.lafrance@msad60.org
Harmony Elementary,218,Public,Public,Harmony Public Schools,217,Somerset,Harmony,PO Box 100,Harmony,04942,(207) 683-2211,PK,8,LORI POIRIER,lpoirier@aos94.org
Harpswell Community School,989,Public,Public,RSU 75/MSAD 75,984,Cumberland,Harpswell,308 Harpswell Islands Road,Harpswell,04079,(207) 729-5177,KG,5,Anita Hopkins,hopkinsa@link75.org
Harriet Beecher Stowe Elementary,101,Public,Public,Brunswick Public Schools,94,Cumberland,Brunswick,44 McKeen Street,Brunswick,04011,(207) 319-1960,3,5,HEATHER BLANCHARD,hblanchard@brunswicksd.org
Harrington Elementary School,758,Public,Public,RSU 37/MSAD 37,753,Washington,Harrington,1227 US Highway 1A,Harrington,04643,(207) 483-6681,PK,6,Eric Brooks,ebrooks@msad37.org
Harrison Elementary,647,Public,Public,RSU 17/MSAD 17,646,Cumberland,Harrison,309 Naples Road,Harrison,04040,(207) 583-2357,3,6,Margaret Emery,m.emery@msad17.org
Harrison Lyseth Elem School,373,Public,Public,Portland Public Schools,364,Cumberland,Portland,175 Auburn ST,Portland,04103,(207) 874-8215,PK,5,Sara Goodall,goodas@portlandschools.org
Hartford-Sumner Elementary School,764,Public,Public,RSU 10,1450,Oxford,Sumner,145 Main Street,Sumner,04292,(207) 388-2681,PK,6,RYAN WILKINS,rwilkins@rsu10.org
Hebron Station School,649,Public,Public,RSU 17/MSAD 17,646,Oxford,Hebron,884 Station Road,Hebron,04238,(207) 966-3323,PK,6,Douglas Kilmister,d.kilmister@msad17.org
Helen S Dunn Elementary School,209,Public,Public,Greenbush Public Schools,208,Penobscot,Greenbush,129 Military Road,Greenbush,04418,(207) 826-2000,PK,8,GWEN SMITH,gsmith@hsdgreenbush.org
Helen Thompson School,625,Public,Public,RSU 11/MSAD 11,617,Kennebec,West Gardiner,309 Spears Corner Road,West Gardiner,04345,(207) 724-3930,PK,5,Kady Gould,kgould@msad11.org
Hermon High School,222,Public,Public,Hermon Public Schools,219,Penobscot,Hermon,2415 Route 2,Hermon,04401,(207) 848-4027,9,12,BRIAN WALSH,brian.walsh@schools.hermon.net
Hermon Middle School,221,Public,Public,Hermon Public Schools,219,Penobscot,Hermon,29 Billings Road,Hermon,04401,(207) 848-4070,5,8,Zackary Freeman,zack.freeman@schools.hermon.net
Hichborn Middle School,721,Public,Public,RSU 31/MSAD 31,718,Penobscot,Howland,23 Cross Street,Howland,04448,(207) 732-3113,6,8,SHANE YARDLEY,shane.yardley@sau31.org
Hodgdon Middle/High School,1769,Public,Public,RSU 70/MSAD 70,957,Aroostook,Hodgdon,175 Hodgdon Mills Road,Hodgdon,04730,(207) 532-2413,7,12,Lacey McQuarrie,laceymcquarrie@msad70.org
Holbrook School,935,Public,Public,RSU 63/MSAD 63,932,Penobscot,Holden,202 Kidder Hill Road,Holden,04429,(207) 843-7769,5,8,ROBERT MEYER,rmeyer@rsu63.org
Holden School,934,Public,Public,RSU 63/MSAD 63,932,Penobscot,Holden,590 Main Road,Holden,04429,(207) 843-7828,2,4,DONALD SPENCER,dspencer@rsu63.org
Hollis School,593,Public,Public,RSU 06/MSAD 06,587,York,Hollis,554 River Road,Hollis,04042,(207) 929-3838,PK,5,Jennifer Slabbinck,jslabbinck@bonnyeagle.org
Hope Elementary School,226,Public,Public,Hope Public Schools,225,Knox,Hope,34 Highfield Road,Hope,04847,(207) 785-4081,PK,8,Danielle Fagonde,danielle.fagonde@fivetowns.net
Horace Mitchell Primary School,243,Public,Public,Kittery Public Schools,242,York,Kittery Point,7 School Lane,Kittery Point,03905,(207) 439-1707,KG,3,Allison Gamache,agamache@kitteryschools.com
Houlton Elementary School,708,Public,Public,RSU 29/MSAD 29,707,Aroostook,Houlton,60 South Street,Houlton,04730,(207) 532-2285,PK,2,CANDACE CRANE,candice.crane@rsu29.org
Houlton High School,709,Public,Public,RSU 29/MSAD 29,707,Aroostook,Houlton,7 Bird Street,Houlton,04730,(207) 532-6551,9,12,DEWAYNE MORSE,dewayne.morse@rsu29.org
Houlton Junior High School,711,Public,Public,RSU 29/MSAD 29,707,Aroostook,Houlton,7 Bird Street,Houlton,04730,(207) 532-6551,6,8,DEWAYNE MORSE,dewayne.morse@rsu29.org
Houlton Southside School,710,Public,Public,RSU 29/MSAD 29,707,Aroostook,Houlton,65 South Street,Houlton,04730,(207) 532-6027,3,5,CINDY PETERSON,cindy.peterson@rsu29.org
Howard C Reiche Community Sch,380,Public,Public,Portland Public Schools,364,Cumberland,Portland,166 Brackett ST,Portland,04102,(207) 874-8175,PK,5,Ryan Scallon,Scallr@portlandschools.org
Indian Island School,1010,Public,Indian Education,Indian Island,1009,Penobscot,Indian Island,10 Wabanaki Way,Indian Island,04468,(207) 827-4285,PK,8,Lee Francis,Lee.Francis@indian-island.mie.k12.me.us
Indian Township School,1012,Public,Indian Education,Indian Township,1011,Washington,Indian Township,13 School Drive Peter Dana Point,Princeton,04668,(207) 796-2362,PK,8,Mary Newell,mnewell@indtwpsch.net
Isle au Haut Rural School,228,Public,Public,Isle Au Haut Public Schools,227,Knox,Isle Au Haut,PO Box 56B,Isle Au Haut,04645,(207) 335-2521,KG,8,DANIEL ROSS,dross@su76.org
Islesboro Central School,230,Public,Public,Islesboro Public Schools,229,Waldo,Islesboro,PO Box 118,Islesboro,04848,(207) 734-2251,KG,12,Katherine Legere,klegere@islesboro.k12.me.us
James F. Doughty School,50,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,143 Fifth Street,Bangor,04401,(207) 941-6220,6,8,Samuel Moring,smoring@bangorschools.net
James H Bean School,812,Public,Public,RSU 18,1457,Kennebec,Sidney,2896 Middle Road,Sidney,04330,(207) 547-3395,PK,5,Erica St Peter,estpeter@rsu18.org
James Otis Kaler Elementary School,446,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,165 South Kelsey Street,South Portland,04106,(207) 799-3214,PK,4,Myra Caron,caronmy@spsdme.org
Jameson Elementary School,323,Public,Public,RSU 23,1461,York,Old Orchard Beach,20 Jameson Hill Road,Old Orchard Beach,04064,(207) 934-2891,PK,2,Benjamin Harris,bharris@rsu23.org
Jefferson Village School,236,Public,Public,Jefferson Public Schools,235,Lincoln,Jefferson,767 Main St. Suite 2,Damariscotta,04543,(207) 549-7491,KG,8,Janet Delmar,jdelmar@aos93.org
John F Kennedy Memorial School,67,Public,Public,Biddeford Public Schools,65,York,Biddeford,64 West Street,Biddeford,04005,(207) 282-4134,PK,KG,Jeremy Ray,jray@biddefordschools.me
Jonesboro Elementary School,238,Public,Public,Jonesboro Public Schools,237,Washington,Jonesboro,57 School Road,Jonesboro,04648,(207) 434-2602,PK,8,Marjorie Hicks,marjoriehicks@jonesboroschool.org
Jonesport Elementary School,240,Public,Public,Jonesport Public Schools,239,Washington,Jonesport,139 Snare Creek Lane,Jonesport,04649,(207) 497-2830,PK,8,John Reese,john.reese@union103.org
Jonesport-Beals High School,1059,Public,Public,Moosabec CSD,1058,Washington,Jonesport,180 Snare Creek Lane,Jonesport,04649,(207) 497-5454,9,12,Joseph Swain,joseph.swain@union103.org
Jordan-Small Middle School,395,Public,Public,RSU 14,1455,Cumberland,Raymond,423 Webb's Mills Road,Raymond,04071,(207) 655-4743,5,8,Michelle Brann,mbrann@rsu14.org
Katahdin Elementary School,692,Public,Public,RSU 89,1997,Penobscot,Stacyville,805 Station Road,Stacyville,04777,(207) 365-4285,PK,5,REBA HEATH,rheath@rsu89.org
Katahdin Middle/High School,693,Public,Public,RSU 89,1997,Penobscot,Stacyville,800 Station Road,Stacyville,04777,(207) 365-4218,6,12,HEATHER MITCHELL,hmitchell@rsu89.org
Kate Furbish Elementary School,95,Public,Public,Brunswick Public Schools,94,Cumberland,Brunswick,75 Jordan Ave,Brunswick,04011,(207) 319-1970,PK,2,Ann Young,ayoung@brunswicksd.org
Kennebunk Elementary School,968,Public,Public,RSU 21,1460,York,Kennebunk,177 Alewive Road,Kennebunk,04043,(207) 985-4402,PK,2,Ryan Quinn,rquinn@rsu21.net
Kennebunk High School,964,Public,Public,RSU 21,1460,York,Kennebunk,89 Fletcher Street,Kennebunk,04043,(207) 985-1110,9,12,Jeremie Sirois,jsirois@rsu21.net
Kennebunkport Consolidated Sch,967,Public,Public,RSU 21,1460,York,Kennebunkport,25 School Street,Kennebunkport,04046,(207) 967-2121,KG,5,KAREN BUBAR,kbubar@rsu21.net
Kermit S Nickerson School,2097,Public,Public,RSU 71,1733,Waldo,Swanville,18 Townhouse Road,Swanville,04915,(207) 338-1858,3,5,ELIZABETH WAKEM,ewakem@rsu71.org
King Middle School,375,Public,Public,Portland Public Schools,364,Cumberland,Portland,92 Deering AV,Portland,04102,(207) 874-8140,6,8,Amy Marx,amykmarx@icloud.com
Kingfield Elementary Sch,2141,Public,Public,RSU 58/MSAD 58,898,Franklin,Kingfield,102 Salem Road,Kingfield,04947,(207) 265-4132,PK,4,RONDA FOURNIER,RFOURNIER@MSAD58.ORG
Kingman Elementary School,1005,Public,Unorganized Territory,Education in Unorganized Terr,1002,Penobscot,Kingman,25 Park Street,Kingman,04451,(207) 765-2500,PK,6,Beth Lorigan,blorigan@eut4me.org
Lake Region High School,925,Public,Public,RSU 61/MSAD 61,922,Cumberland,Naples,1877 Roosevelt Trail,Naples,04055,(207) 693-6221,9,12,Margaret Thornton,maggie.thornton@lakeregionschools.org
Lake Region Middle School,926,Public,Public,RSU 61/MSAD 61,922,Cumberland,Naples,204 Kansas Road,Naples,04055,(207) 647-8403,6,8,HOLLY WILSON,holly.wilson@lakeregionschools.org
Lake Region Vocational Center,928,Public,Technology Center,RSU 61/MSAD 61,922,Cumberland,Naples,1879 Roosevelt Trail,Naples,04055,(207) 693-3864,9,12,ALAN SMITH,alan.smith@lakeregionschools.org
Lamoine Consolidated School,249,Public,Public,Lamoine Public Schools,1665,Hancock,Lamoine,53 Lamoine Beach Road,Lamoine,04605,(207) 667-8578,KG,8,Dawn McPhail,dmcphail@lamoineconsolidated.org
Laura E Richards School,621,Public,Public,RSU 11/MSAD 11,617,Kennebec,Gardiner,279 Brunswick Avenue,Gardiner,04345,(207) 582-3612,PK,2,Karen Moody,kmoody@msad11.org
Lawrence High School,830,Public,Public,RSU 49/MSAD 49,826,Somerset,Fairfield,9 School Street,Fairfield,04937,(207) 453-4200,9,12,Daniel Bowers,dan.bowers@msad49.org
Lawrence Jr High School,831,Public,Public,RSU 49/MSAD 49,826,Somerset,Fairfield,7 School Street,Fairfield,04937,(207) 453-4200,7,8,LAURA REYNOLDS,lreynolds@msad49.org
Leavitt Area High School,851,Public,Public,RSU 52/MSAD 52,847,Androscoggin,Turner,21 Matthews Way,Turner,04282,(207) 225-1100,9,12,EBEN SHAW,eben.shaw@msad52.org
Lebanon Elementary School,918,Public,Public,RSU 60/MSAD 60,913,York,Lebanon,65 Upper Guinea Road,Lebanon,04027,(207) 457-1126,4,5,Heather LaFrance,heather.LaFrance@msad60.org
Lee/Winn School,716,Public,Public,RSU 30/MSAD 30,713,Penobscot,Winn,1009 Route 168,Winn,04495,(207) 290-4992,PK,4,FREDY LAZO,flazo@msad30.org
Leeds Central School,849,Public,Public,RSU 52/MSAD 52,847,Androscoggin,Leeds,1185 Route 106,Leeds,04263,(207) 524-5151,PK,6,Shannon Bartash,shannon.bartash@msad52.org
Leonard Middle School,331,Public,Public,RSU 34,1466,Penobscot,Old Town,156 Oak Street,Old Town,04468,(207) 827-3900,6,8,Gertrude Nesin,gert.nesin@rsu34.org
Leroy H Smith School,679,Public,Public,RSU 22,1615,Waldo,Winterport,319 South Main Street,Winterport,04496,(207) 223-4282,PK,4,DAWN MOORE,dmoore@rsu22.us
Lewiston High School,255,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,156 East Avenue,Lewiston,04240,(207) 795-4190,9,12,JONATHAN RADTKE,jradtke@lewistonpublicschools.org
Lewiston Middle School,257,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,75 Central Avenue,Lewiston,04240,(207) 795-4180,7,8,AMANDA Bryant,awinslow@LEWISTONPUBLICSCHOOLS.ORG
Lewiston Regional Technology Ctr,259,Public,Technology Center,Lewiston Public Schools,250,Androscoggin,Lewiston,156 East Avenue,Lewiston,04240,(207) 795-4144,9,12,KALVIN LANGLAIS,jlanglais@lewistonpublicschools.org
Libby-Tozier School,2112,Public,Public,RSU 04,1446,Kennebec,Litchfield,466 Academy Road,Litchfield,04350,(207) 375-4273,PK,KG,DUSTIN MILES,dustin.miles@rsu4.org
Lillian Parks Hussey School,31,Public,Public,Augusta Public Schools,28,Kennebec,Augusta,12 Gedney Street,Augusta,04330,(207) 626-2461,KG,6,CHRISTINA BRACKLEY,Tina.Brackley@Augustaschools.org
Limestone Community School,1969,Public,Public,Limestone Public Schools,2040,Aroostook,Limestone,93 High Street,Limestone,04750,(207) 325-4742,PK,8,WILLIAM LOTHROP,blothrop@lcseagles.org
